50 3
8 7 8
15 8 7
5 13 11
9 12 18
12 16 14
8 9 17
19 13 17
11 13 20
17 6 16
6 8 16
8 17 15
6 12 8
20 19 17
10 7 9
19 13 6
8 13 13
10 5 8
15 8 19
9 19 20
15 12 15
6 13 10
12 15 13
6 6 15
12 11 5
16 19 11
12 6 15
12 11 19
9 15 11
9 7 17
11 7 10
13 18 14
9 6 19
15 8 7
8 15 9
12 6 17
8 9 6
14 14 15
9 13 14
17 12 19
17 13 6
19 20 10
18 8 19
9 10 15
7 15 17
15 17 14
17 10 19
18 6 16
9 5 20
17 6 9
18 12 6
5 4 4
2 3 2
5 1 3
1 5 1
1 1 4
2 2 3
4 1 4
5 1 5
4 3 2
1 3 5
1 5 2
2 1 3
1 5 5
3 4 4
5 2 4
2 5 2
2 5 2
1 3 2
4 4 2
3 2 5
2 3 3
1 3 4
2 2 5
2 2 3
4 1 3
2 1 5
1 1 2
2 1 4
4 5 5
5 1 2
2 3 1
2 4 2
4 4 5
2 1 5
3 2 1
3 4 5
3 3 2
5 3 2
2 4 5
1 2 2
3 4 4
3 1 5
2 3 3
5 1 5
2 4 3
1 2 5
2 3 3
2 1 3
2 2 4
2 5 3
52 58 54
