label_tamanho,label_capacidade,n_produtos,n_maquinas,alpha,semente,custo_gulosa,nao_alocados,tempo_gulosa_ms,custo_bl,tempo_bl_ms,melhora_pct,movimentos_bl
Pequena,Apertada,10,5,1.2,42,9178.0,0,0.08929998148232698,6252.0,1.0930999997071922,31.8805840052299,4
Pequena,Apertada,10,5,1.2,123,6822.0,0,0.07259997073560953,6016.0,1.1867000139318407,11.814717091761947,4
Pequena,Apertada,10,5,1.2,256,10759.0,0,0.045900000259280205,1608.0,1.412999990861863,85.05437308300029,7
Pequena,Apertada,10,5,1.2,512,6458.0,0,0.05849997978657484,5990.0,0.8035000064410269,7.246825642613812,2
Pequena,Apertada,10,5,1.2,999,7104.0,0,0.053499999921768904,3076.0,1.1369000421836972,56.700450450450454,5
Pequena,Media,10,5,1.5,42,5789.0,0,0.06130000110715628,4942.0,0.6992000271566212,14.631197097944376,3
Pequena,Media,10,5,1.5,123,2581.0,0,0.053099996875971556,2245.0,0.5936000379733741,13.018209996125533,2
Pequena,Media,10,5,1.5,256,6813.0,0,0.049799971748143435,1369.0,1.251600042451173,79.90606194040804,6
Pequena,Media,10,5,1.5,512,5845.0,0,0.050900038331747055,5674.0,0.478199974168092,2.9255774165953805,1
Pequena,Media,10,5,1.5,999,6752.0,0,0.14139997074380517,6621.0,0.9273000177927315,1.9401658767772512,1
Pequena,Folgada,10,5,2.0,42,4597.0,0,0.06439996650442481,4096.0,0.7272000075317919,10.898412007831194,2
Pequena,Folgada,10,5,2.0,123,1153.0,0,0.05440000677481294,917.0,0.7047000108286738,20.4683434518647,2
Pequena,Folgada,10,5,2.0,256,7328.0,0,0.04770001396536827,1082.0,0.9880999568849802,85.23471615720524,4
Pequena,Folgada,10,5,2.0,512,4263.0,0,0.06659998325631022,3924.0,0.5511000053957105,7.952146375791696,1
Pequena,Folgada,10,5,2.0,999,4550.0,0,0.0543000060133636,2621.0,1.0163999977521598,42.395604395604394,6
Media,Apertada,20,8,1.2,42,25186.0,0,0.1928000128827989,13550.0,16.682300018146634,46.20026999126499,16
Media,Apertada,20,8,1.2,123,35877.0,0,0.18209998961538076,26224.0,11.925099999643862,26.90581709730468,12
Media,Apertada,20,8,1.2,256,33446.0,0,0.20539999241009355,24977.0,10.178400028962642,25.32141362195778,10
Media,Apertada,20,8,1.2,512,39085.0,0,0.25069998810067773,21490.0,27.023300004657358,45.01727005244979,27
Media,Apertada,20,8,1.2,999,32317.0,0,0.1803000341169536,24099.0,6.241299968678504,25.42934059473342,6
Media,Media,20,8,1.5,42,17452.0,0,0.20619999850168824,12155.0,11.873100011143833,30.351822140728856,12
Media,Media,20,8,1.5,123,33367.0,0,0.2422000397928059,28144.0,10.990799986757338,15.653190277819402,8
Media,Media,20,8,1.5,256,29942.0,0,0.2867000293917954,22171.0,16.49780001025647,25.95351011956449,10
Media,Media,20,8,1.5,512,26619.0,0,0.21060003200545907,11520.0,15.514299971982837,56.722641722078215,15
Media,Media,20,8,1.5,999,32811.0,0,0.21229998674243689,15859.0,17.385799961630255,51.66559995123587,20
Media,Folgada,20,8,2.0,42,12994.0,0,0.24009996559470892,9209.0,11.50930003495887,29.128828690164692,11
Media,Folgada,20,8,2.0,123,29918.0,0,0.2004000125452876,15746.0,26.709800004027784,47.36947656928939,19
Media,Folgada,20,8,2.0,256,24069.0,0,0.3458999563008547,20238.0,12.477700016461313,15.91673937429889,8
Media,Folgada,20,8,2.0,512,22618.0,0,0.23560004774481058,10165.0,18.893699976615608,55.05791847201344,12
Media,Folgada,20,8,2.0,999,30084.0,0,0.3005999606102705,13729.0,22.973000013735145,54.36444621725834,21
Grande,Apertada,40,12,1.2,42,181134.0,0,1.0756999836303294,149189.0,258.6062999907881,17.63611469961465,35
Grande,Apertada,40,12,1.2,123,124319.0,0,1.5449000056833029,96752.0,161.27350000897422,22.174406164785754,33
Grande,Apertada,40,12,1.2,256,146758.0,0,0.8038000087253749,102328.0,296.6724000289105,30.27432916774554,41
Grande,Apertada,40,12,1.2,512,160125.0,0,0.8262000046670437,105719.0,271.4228999684565,33.97720530835285,42
Grande,Apertada,40,12,1.2,999,134764.0,0,0.8649000083096325,82025.0,284.68250000150874,39.13433854738654,44
Grande,Media,40,12,1.5,42,177709.0,0,0.8904000278562307,141566.0,269.1562999971211,20.338305882088132,38
Grande,Media,40,12,1.5,123,113994.0,0,1.3725999742746353,103134.0,93.99349999148399,9.526817200905311,18
Grande,Media,40,12,1.5,256,124756.0,0,1.3197999796830118,86188.0,313.27790004434064,30.914745583378757,41
Grande,Media,40,12,1.5,512,112684.0,0,0.9353000205010176,74147.0,234.35559996869415,34.1991764580597,36
Grande,Media,40,12,1.5,999,119674.0,0,1.0370999807491899,64661.0,330.474000016693,45.96904925046376,48
Grande,Folgada,40,12,2.0,42,147682.0,0,0.9768999880179763,113729.0,224.80490000452846,22.990614970003115,31
Grande,Folgada,40,12,2.0,123,117050.0,0,0.9616999886929989,81233.0,305.904200009536,30.599743699273816,46
Grande,Folgada,40,12,2.0,256,96474.0,0,1.23559997882694,69373.0,203.545700001996,28.091506519891368,35
Grande,Folgada,40,12,2.0,512,93774.0,0,0.9658999624662101,46147.0,313.60350002069026,50.78913131571651,46
Grande,Folgada,40,12,2.0,999,85095.0,0,1.2962999753654003,45617.0,323.4849000000395,46.392855044362186,43
