label_tamanho,label_capacidade,n_produtos,n_maquinas,alpha,semente,custo_gulosa,nao_alocados,tempo_gulosa_ms,custo_bl,tempo_bl_ms,melhora_pct,movimentos_bl
Pequena,Apertada,10,5,1.2,42,9178.0,0,0.0986,6252.0,1.6451,31.8806,4
Pequena,Apertada,10,5,1.2,123,6822.0,0,0.0927,6016.0,1.7662,11.8147,4
Pequena,Apertada,10,5,1.2,256,10759.0,0,0.0723,1608.0,2.1582,85.0544,7
Pequena,Apertada,10,5,1.2,512,6458.0,0,0.0844,5990.0,1.3319,7.2468,2
Pequena,Apertada,10,5,1.2,999,7104.0,0,0.0861,3076.0,1.46,56.7005,5
Pequena,Media,10,5,1.5,42,5789.0,0,0.0844,4942.0,1.053,14.6312,3
Pequena,Media,10,5,1.5,123,2581.0,0,0.0768,2245.0,0.8667,13.0182,2
Pequena,Media,10,5,1.5,256,6813.0,0,0.0733,1369.0,1.8372,79.9061,6
Pequena,Media,10,5,1.5,512,5845.0,0,0.0765,5674.0,0.7019,2.9256,1
Pequena,Media,10,5,1.5,999,6752.0,0,0.069,6621.0,0.8758,1.9402,1
Pequena,Folgada,10,5,2.0,42,4597.0,0,0.077,4096.0,0.9039,10.8984,2
Pequena,Folgada,10,5,2.0,123,1153.0,0,0.116,917.0,0.96,20.4683,2
Pequena,Folgada,10,5,2.0,256,7328.0,0,0.0726,1082.0,1.3272,85.2347,4
Pequena,Folgada,10,5,2.0,512,4263.0,0,0.0826,3924.0,0.801,7.9521,1
Pequena,Folgada,10,5,2.0,999,4550.0,0,0.0813,2621.0,2.2247,42.3956,6
Media,Apertada,20,8,1.2,42,25186.0,0,0.3114,13550.0,23.1377,46.2003,16
Media,Apertada,20,8,1.2,123,35877.0,0,0.2179,26224.0,13.8599,26.9058,12
Media,Apertada,20,8,1.2,256,33446.0,0,0.2264,24977.0,12.7433,25.3214,10
Media,Apertada,20,8,1.2,512,39085.0,0,0.3381,21490.0,28.315,45.0173,27
Media,Apertada,20,8,1.2,999,32317.0,0,0.2233,24099.0,7.4783,25.4293,6
Media,Media,20,8,1.5,42,17452.0,0,0.236,12155.0,15.6407,30.3518,12
Media,Media,20,8,1.5,123,33367.0,0,0.3142,28144.0,10.0828,15.6532,8
Media,Media,20,8,1.5,256,29942.0,0,0.2449,22171.0,18.4509,25.9535,10
Media,Media,20,8,1.5,512,26619.0,0,0.4401,11520.0,19.1405,56.7226,15
Media,Media,20,8,1.5,999,32811.0,0,0.2861,15859.0,24.4732,51.6656,20
Media,Folgada,20,8,2.0,42,12994.0,0,0.4241,9209.0,18.4092,29.1288,11
Media,Folgada,20,8,2.0,123,29918.0,0,0.2758,15746.0,27.7671,47.3695,19
Media,Folgada,20,8,2.0,256,24069.0,0,0.261,20238.0,12.2797,15.9167,8
Media,Folgada,20,8,2.0,512,22618.0,0,0.4023,10165.0,18.1459,55.0579,12
Media,Folgada,20,8,2.0,999,30084.0,0,0.2759,13729.0,21.4908,54.3644,21
Grande,Apertada,40,12,1.2,42,181134.0,0,1.0122,149189.0,247.8674,17.6361,35
Grande,Apertada,40,12,1.2,123,124319.0,0,1.1995,96752.0,197.0047,22.1744,33
Grande,Apertada,40,12,1.2,256,146758.0,0,0.9986,102328.0,328.123,30.2743,41
Grande,Apertada,40,12,1.2,512,160125.0,0,1.1055,105719.0,284.6844,33.9772,42
Grande,Apertada,40,12,1.2,999,134764.0,0,1.0739,82025.0,355.3569,39.1343,44
Grande,Media,40,12,1.5,42,177709.0,0,1.1869,141566.0,296.0161,20.3383,38
Grande,Media,40,12,1.5,123,113994.0,0,1.3331,103134.0,126.2938,9.5268,18
Grande,Media,40,12,1.5,256,124756.0,0,1.1235,86188.0,323.2755,30.9147,41
Grande,Media,40,12,1.5,512,112684.0,0,1.2749,74147.0,248.6086,34.1992,36
Grande,Media,40,12,1.5,999,119674.0,0,1.7206,64661.0,383.2706,45.969,48
Grande,Folgada,40,12,2.0,42,147682.0,0,1.5432,113729.0,225.7314,22.9906,31
Grande,Folgada,40,12,2.0,123,117050.0,0,1.176,81233.0,364.5981,30.5997,46
Grande,Folgada,40,12,2.0,256,96474.0,0,1.45,69373.0,226.7141,28.0915,35
Grande,Folgada,40,12,2.0,512,93774.0,0,1.4341,46147.0,379.4725,50.7891,46
Grande,Folgada,40,12,2.0,999,85095.0,0,1.3234,45617.0,319.7452,46.3929,43
